Temp,Hum,Output,Time_us
97.95,80.46,148.38054,3.21
83.10,64.68,87.19594,2.04
91.54,46.85,96.02844,1.17
87.04,45.07,87.99782,0.58
96.87,43.35,104.82140,0.58
82.89,47.84,83.39594,0.58
90.25,53.55,96.77779,0.58
86.81,53.10,90.13264,0.58
98.28,97.34,178.03696,0.58
93.85,78.82,127.43131,0.58
93.85,41.26,97.52834,0.58
84.63,49.85,85.92350,0.58
96.58,93.82,161.26347,0.58
98.38,51.93,115.59750,0.58
85.51,55.12,88.63055,0.58
93.88,53.20,104.76912,0.58
87.98,82.73,107.99321,0.58
103.89,88.82,198.69571,0.58
98.92,64.67,131.26440,0.58
102.63,82.48,177.37579,0.58
87.98,55.73,93.23952,0.58
85.35,67.92,92.70661,0.58
84.70,92.26,101.63231,0.58
80.49,91.30,87.25354,0.58
84.56,82.34,96.53447,0.58
90.34,80.21,114.76192,0.58
86.88,53.85,90.51412,0.58
100.71,68.45,143.61139,0.58
88.56,96.74,121.16415,0.58
81.32,44.59,81.39614,0.88
80.80,67.34,83.86185,0.58
91.83,47.26,96.77760,0.58
97.56,45.78,108.16101,0.58
82.08,78.38,88.56407,0.58
80.33,47.54,80.85265,0.58
97.14,49.03,109.72754,0.58
81.12,42.70,81.02061,0.58
86.22,91.63,107.11516,0.58
102.40,63.86,144.02898,0.58
81.81,54.62,83.25569,0.58
98.42,71.89,138.52638,0.58
102.04,93.80,196.83000,0.58
88.43,55.37,93.96252,0.88
103.08,74.93,165.62468,0.88
90.68,45.34,93.78480,0.58
91.24,73.84,112.76511,0.58
101.93,98.53,206.47678,0.58
88.20,86.78,111.65530,0.58
84.38,47.05,84.98653,0.88
93.74,92.48,143.10498,0.58
83.71,57.83,86.51186,0.58
86.13,89.67,105.57800,0.58
86.29,84.85,103.35915,0.58
98.11,99.51,180.92212,0.88
92.32,84.22,126.57813,0.58
90.18,95.09,127.58492,0.58
88.12,62.13,96.42854,0.58
97.48,69.50,131.58446,0.58
89.26,53.39,94.70685,0.58
94.84,63.75,115.94592,0.58
81.45,61.48,83.89809,0.58
98.04,90.88,165.24269,0.58
93.81,70.01,118.34232,0.88
99.01,67.73,135.50821,0.58
88.03,77.35,104.66648,0.58
98.96,75.34,145.77757,0.58
80.67,83.70,86.34801,0.58
93.47,84.38,131.94693,0.58
101.68,40.78,113.84795,0.58
102.22,84.85,179.53766,0.58
88.30,77.92,105.90662,0.58
81.00,57.50,82.70154,0.58
103.55,62.57,146.88971,0.58
80.28,57.62,81.86868,0.58
90.84,99.73,135.95630,0.58
101.97,71.02,153.30211,0.58
91.60,82.94,122.20683,0.58
90.46,57.08,99.11863,0.58
85.19,93.83,104.33125,0.58
95.45,41.48,100.68272,0.58
100.94,57.54,129.78654,0.58
86.85,59.62,92.60151,0.58
98.80,79.33,150.92810,0.58
97.83,53.71,115.68194,0.88
87.67,90.54,112.29395,0.58
99.03,68.00,135.93494,0.58
102.61,89.09,190.70523,0.58
89.78,85.65,117.12296,0.88
84.79,40.24,84.14877,0.58
87.51,83.59,106.89113,0.58
101.37,53.42,126.25359,0.58
99.52,42.29,110.00504,0.58
91.62,41.49,93.75391,0.58
93.18,69.98,116.12457,0.58
100.42,62.94,134.77708,0.58
93.67,88.56,137.82388,0.58
92.79,98.75,145.82542,0.58
86.86,61.97,93.59576,0.58
91.99,86.98,127.99981,0.58
93.65,62.36,111.06485,0.88
90.66,70.50,108.29733,0.58
87.58,79.37,104.46709,1.46
100.36,79.09,158.58392,1.75
94.48,57.62,109.60637,0.58
99.28,71.55,141.82956,0.58
81.46,64.34,84.41204,0.58
92.35,90.33,133.35580,0.58
97.47,84.44,151.78397,0.58
92.16,59.06,104.45145,1.17
89.76,74.52,108.34551,0.58
100.27,82.25,163.43932,0.58
97.14,91.15,160.34367,0.58
89.38,95.57,124.13902,0.58
84.02,97.22,101.40092,0.58
81.27,70.97,85.27101,0.58
91.78,64.64,107.35120,0.58
101.73,92.76,192.49300,0.88
98.42,64.74,129.44804,0.58
84.61,42.46,84.35597,0.58
86.85,56.15,91.27503,0.58
102.96,78.61,171.78470,0.58
90.46,47.18,94.19664,0.58
90.37,47.80,94.30658,0.88
102.78,70.37,156.08980,0.58
82.02,62.52,84.93572,0.58
84.52,41.78,84.13318,0.58
83.71,63.50,87.97633,0.58
95.02,81.35,135.50113,0.58
90.68,79.98,115.86333,0.58
91.35,55.43,100.19094,0.58
99.97,88.46,172.65694,0.58
82.67,50.60,83.61682,0.58
99.00,99.96,187.97200,0.58
92.82,47.89,99.07748,0.58
81.27,64.31,84.10405,0.88
85.21,65.67,91.55901,0.58
82.20,55.24,83.84963,0.58
94.14,49.99,103.19694,0.58
98.96,96.66,181.38432,0.58
103.10,72.03,160.53113,0.58
100.36,64.92,137.21219,0.58
83.71,51.99,85.18025,0.58
93.51,76.11,123.19186,0.58
84.61,64.03,89.80794,0.58
93.94,56.54,107.31203,0.58
91.06,84.11,121.05314,0.58
99.52,40.36,108.46030,0.58
81.50,98.73,92.27450,0.58
99.43,99.11,189.37508,0.58
83.48,44.94,83.55711,0.58
98.24,72.81,138.97911,0.58
89.02,75.97,106.95689,0.58
82.29,67.13,86.33842,0.88
87.12,63.48,94.79173,1.46
83.77,78.07,92.65488,0.88
86.68,70.48,96.99604,0.58
94.03,55.10,106.48168,0.58
85.71,86.99,102.53966,0.88
92.05,66.91,109.86697,0.58
96.46,79.17,139.39615,0.58
85.35,58.39,89.36784,0.58
97.48,41.73,105.01988,0.58
91.87,41.98,94.38261,0.58
103.98,62.96,149.35037,0.58
90.68,74.50,111.38731,0.58
98.13,83.38,153.69318,0.58
98.92,77.01,148.06146,0.58
100.38,96.08,190.01497,0.58
102.45,94.75,201.85640,0.58
90.97,71.05,109.67381,0.58
102.29,45.97,120.62009,0.58
92.30,66.22,110.09787,0.58
90.84,58.46,100.79665,0.58
100.20,84.33,166.64973,0.58
94.28,61.96,112.61845,0.58
94.89,97.16,156.13889,0.58
93.47,75.03,121.96420,0.58
102.81,62.53,143.75087,0.88
84.34,86.64,97.72816,0.58
92.55,64.19,109.27045,0.58
102.56,86.30,184.56776,0.58
95.56,64.69,119.21243,0.58
80.19,59.76,82.00686,0.58
89.26,53.96,94.96704,0.58
89.20,40.89,89.81357,0.58
85.87,72.99,96.07537,0.88
103.80,72.66,165.22453,0.58
89.24,98.04,125.72282,0.58
88.39,55.00,93.73247,0.58
101.95,42.25,115.90422,0.58
97.65,65.98,128.01802,0.58
87.17,40.72,87.01868,0.58
99.41,97.60,186.27455,0.58
97.50,46.61,108.68066,0.58
84.47,47.20,85.12837,0.58
101.77,80.27,168.23145,0.58
86.92,52.21,90.01184,0.58
82.94,51.85,84.16399,0.58
101.89,58.22,134.07889,0.58
94.57,44.69,100.81101,0.58
94.05,85.22,135.63377,0.58
81.07,57.60,82.80355,2.04
81.16,78.52,86.49783,1.17
85.01,64.52,90.74950,0.58
94.96,88.03,143.76048,0.58
95.92,58.53,114.52751,0.58
100.94,70.21,147.27187,0.58
83.48,82.97,93.61761,0.88
80.38,55.56,81.75438,0.58
90.10,57.52,98.54366,0.58
83.16,76.12,90.48995,0.58
81.19,87.65,88.51578,0.58
100.29,68.91,142.48228,0.58
88.11,59.31,95.05889,0.58
83.32,73.61,90.10022,0.58
83.07,71.77,89.01003,0.58
90.28,92.58,125.65088,0.58
83.35,47.33,83.83214,0.58
83.32,72.97,89.90681,0.58
94.33,86.62,138.74963,0.58
83.84,88.46,96.84917,0.58
100.56,49.56,119.48374,0.58
85.78,67.69,93.58895,0.58
92.91,85.83,130.99545,0.58
89.64,62.08,99.97814,0.58
84.92,92.02,102.32202,0.58
82.71,51.57,83.82826,0.58
95.05,75.35,128.60614,0.58
83.08,68.70,88.20402,0.58
82.13,73.62,87.51894,0.88
95.85,85.04,144.26341,0.88
93.63,92.90,143.06082,0.58
86.86,85.98,106.07590,0.88
91.11,52.34,97.95400,1.46
99.14,45.23,111.56075,0.58
90.77,72.11,109.84210,0.58
87.66,98.70,118.44347,0.58
90.00,50.86,94.98050,0.58
85.48,41.39,85.12381,0.58
103.35,46.59,124.37860,0.58
99.12,63.08,130.05443,0.58
81.50,44.13,81.50147,0.58
102.60,68.03,151.38678,0.58
85.03,49.12,86.28297,0.58
97.45,83.74,150.64668,0.58
91.90,49.17,97.90369,0.58
99.41,48.07,114.80172,0.58
84.31,65.31,89.61773,0.58
89.20,64.58,100.32471,0.58
84.83,72.09,93.09790,0.58
81.05,54.86,82.40578,0.58
86.74,91.13,108.88251,0.58
95.05,41.37,99.84894,0.58
88.16,50.12,91.35812,0.58
85.78,91.03,105.06895,0.58
80.11,71.47,83.32428,0.58
86.70,76.16,99.90505,0.58
96.93,99.54,172.89622,0.58
86.00,69.18,94.71416,0.58
84.74,94.95,103.14660,0.58
86.97,86.75,106.95755,0.58
81.82,97.17,93.00392,0.58
92.26,93.01,135.95700,0.58
99.57,42.27,110.11522,0.88
92.03,44.36,95.73907,0.58
83.17,53.35,84.75111,0.58
95.00,74.46,127.39165,0.58
83.05,49.30,83.83043,0.58
87.08,48.91,89.19441,0.58
94.77,86.84,141.18871,0.58
92.35,64.45,108.88687,0.58
98.31,48.88,112.61739,0.88
102.20,41.56,115.87415,0.58
84.16,87.63,97.56918,0.58
86.00,42.02,85.87359,0.58
83.25,64.72,87.46222,0.58
101.62,43.79,116.57048,0.58
80.64,89.73,87.37448,0.58
96.60,87.34,151.47180,0.58
92.35,52.12,100.51337,0.58
93.96,95.87,148.78732,0.58
80.83,60.23,82.87631,0.58
103.66,74.75,168.34418,0.58
88.83,50.06,92.48721,0.58
84.43,51.57,86.05738,0.58
87.78,82.27,106.98441,0.58
103.08,66.36,150.88730,0.58
91.08,97.19,134.42464,0.58
94.69,56.07,108.96878,0.88
82.76,70.36,87.99832,0.58
92.98,65.95,111.99255,0.58
95.29,40.03,99.54429,0.58
90.84,56.97,99.92435,0.58
83.82,46.80,84.27232,0.58
89.71,53.52,95.66058,0.58
102.92,94.30,204.22523,0.58
87.98,63.10,96.57080,0.58
100.74,65.21,139.13959,0.58
102.76,69.02,153.75191,0.58
82.94,44.04,82.85062,0.58
91.51,53.54,99.46632,0.58
90.54,43.25,92.68884,1.17
97.90,86.67,157.55627,0.58
83.98,41.07,83.44432,0.58
82.99,43.19,82.77742,0.58
97.86,64.28,126.84920,0.58
91.29,81.37,119.48055,1.46
91.44,63.92,105.86607,0.58
86.11,53.91,89.22959,2.04
89.46,46.27,92.08229,0.58
95.77,97.28,161.74135,0.88
91.89,68.45,110.57112,0.58
93.65,99.21,151.55551,0.58
87.91,87.74,111.21723,0.58
80.89,92.41,88.66296,0.58
89.85,80.73,113.36256,0.58
92.48,56.61,103.62879,0.58
91.08,96.88,134.08438,0.88
86.72,98.28,113.69847,0.58
93.02,46.10,98.49330,0.58
94.24,99.56,155.67448,0.58
102.47,78.62,169.09987,0.58
101.25,55.76,128.64929,0.58
86.74,61.15,92.99652,0.58
82.98,94.44,96.23496,0.58
88.11,69.98,100.49471,0.58
96.80,51.04,110.49767,0.58
101.55,95.56,197.17670,0.88
81.25,90.31,89.28263,0.58
87.08,70.41,97.98528,0.58
97.93,92.34,167.04720,0.58
100.76,59.42,131.50378,0.58
100.56,65.52,138.83556,0.58
80.83,93.83,88.79842,0.88
99.66,79.81,156.09525,0.58
80.76,47.32,81.20707,0.58
93.49,55.55,105.42916,0.58
93.34,82.89,129.70447,0.58
101.21,41.59,113.44756,0.58
83.89,88.95,97.23339,0.58
84.97,81.16,97.25377,0.58
88.47,66.80,99.67966,0.58
89.67,40.48,90.35875,0.58
92.79,56.68,104.44063,0.58
92.82,58.43,105.74997,0.58
92.26,82.45,124.53339,0.58
91.38,94.16,132.70898,0.58
80.51,49.38,81.20010,0.58
101.14,89.93,182.77975,0.58
91.17,47.00,95.39455,0.58
98.98,48.04,113.62337,0.58
94.91,86.42,141.37086,0.58
102.69,73.65,161.28651,0.58
90.63,91.50,126.22144,0.58
96.93,42.90,104.62813,0.58
83.80,54.52,85.86256,0.88
88.83,62.80,98.40837,0.58
93.79,76.28,124.50906,0.58
89.11,58.39,96.79303,0.58
92.34,49.53,98.98631,0.58
83.89,79.14,93.37238,0.88
83.73,59.18,86.87399,0.58
81.57,82.22,88.27283,0.58
92.97,66.33,112.25157,0.58
99.37,94.43,179.94917,0.58
103.12,77.70,170.96259,0.58
90.93,80.89,117.62344,0.58
98.37,95.51,175.31609,0.58
90.45,81.94,116.63289,0.58
86.83,93.22,110.64839,0.88
103.14,52.51,130.96169,0.58
89.94,55.09,96.91477,0.88
88.21,80.05,107.01115,0.58
97.92,94.19,170.09860,0.58
86.52,90.54,107.64314,0.58
100.17,79.01,157.41753,0.88
95.43,89.19,147.81033,0.58
94.06,74.06,123.27145,0.58
93.78,45.38,99.60361,0.58
93.16,87.82,134.45474,0.58
88.75,62.49,98.07310,0.58
81.66,85.20,89.22556,0.58
84.24,41.49,83.77515,0.58
103.50,71.79,162.09143,0.88
91.27,54.28,99.36802,0.58
90.27,56.15,98.16678,0.58
94.05,71.77,120.89083,0.58
102.70,77.92,169.09161,0.58
101.53,57.04,131.24739,0.58
92.79,84.09,128.51897,0.58
80.89,83.07,86.75947,0.58
96.51,96.16,164.56898,0.58
103.68,76.75,172.23769,0.58
89.49,76.06,108.56078,0.88
95.97,83.52,142.83997,0.58
103.89,70.56,161.87164,0.58
88.74,58.56,96.05447,0.58
80.19,90.47,86.23200,0.58
82.22,80.89,89.56918,0.58
80.73,80.79,85.95310,0.58
82.40,73.16,87.97248,0.58
97.84,53.78,115.80010,2.04
87.93,46.96,89.87262,0.58
100.56,86.36,172.40231,0.58
91.92,59.52,104.15676,0.58
89.78,89.35,120.33460,0.88
83.80,96.65,100.27617,0.58
93.45,92.05,141.02101,0.58
83.75,51.42,85.10674,0.58
82.54,53.70,84.00922,0.58
87.64,75.95,102.57879,0.58
95.58,96.93,159.97168,0.58
100.85,62.58,135.96950,0.58
101.25,48.16,119.98740,0.58
98.44,64.17,128.83426,0.58
86.00,69.16,94.70560,0.58
85.59,82.57,99.80979,0.58
85.86,78.86,98.79376,0.58
102.52,44.37,119.56470,0.58
84.72,83.59,97.57738,0.58
80.94,62.83,83.39648,0.58
96.42,41.94,102.92461,0.58
99.39,87.59,167.65057,0.58
91.80,55.77,101.43927,0.58
89.82,66.43,103.05309,0.58
80.58,69.98,83.90671,0.58
93.13,86.50,132.76265,0.58
90.43,80.68,115.49483,0.58
94.66,76.41,128.16098,0.58
92.07,43.31,95.31618,0.58
93.16,50.66,101.43102,0.58
99.64,78.69,154.21338,0.58
99.77,94.24,182.21355,0.58
97.57,41.76,105.23412,0.58
