Temp,Hum,Output,Time_us
36.64,80.46,64.48357,16.33
28.39,64.68,30.18338,10.21
33.08,46.85,35.44123,8.46
30.58,45.07,31.10279,7.58
36.04,43.35,40.73565,7.88
28.27,47.84,28.28831,7.88
32.36,53.55,36.17012,7.88
30.45,53.10,32.37261,7.88
36.82,97.34,81.18877,7.88
34.36,78.82,53.36842,7.88
34.36,41.26,36.16955,7.58
29.24,49.85,29.94004,7.88
35.88,93.82,71.81301,264.54
36.88,51.93,45.68163,9.92
29.73,55.12,31.37593,7.88
34.38,53.20,40.76232,7.88
31.10,82.73,42.00415,8.46
39.94,88.82,92.29070,7.88
37.18,64.67,55.23045,7.88
39.24,82.48,80.53972,7.58
31.10,55.73,33.90152,7.58
29.64,67.92,34.00965,7.88
29.28,92.26,38.62362,10.79
26.94,91.30,31.20634,7.88
29.20,82.34,35.64997,7.88
32.41,80.21,46.18771,7.88
30.49,53.85,32.55408,7.88
38.17,68.45,61.33136,7.88
31.42,96.74,49.47026,7.88
27.40,44.59,27.63298,7.58
27.11,67.34,28.72810,7.88
33.24,47.26,35.73837,7.88
36.42,45.78,42.46016,7.58
27.82,78.38,31.01998,7.88
26.85,47.54,27.65355,7.88
36.19,49.03,43.08475,7.58
27.29,42.70,27.64712,7.58
30.12,91.63,42.13979,7.58
39.11,63.86,61.98592,7.58
27.67,54.62,28.67260,7.88
36.90,71.89,58.55641,7.58
38.91,93.80,91.50996,7.88
31.35,55.37,34.37532,7.58
39.49,74.93,74.38907,7.58
32.60,45.34,34.46573,7.88
32.91,73.84,45.01158,7.58
38.85,98.53,96.12512,7.88
31.22,86.78,44.42529,7.58
29.10,47.05,29.60453,7.88
34.30,92.48,61.80718,7.58
28.73,57.83,30.40174,7.58
30.07,89.67,41.07537,7.88
30.16,84.85,39.15062,7.88
36.73,99.51,82.80743,7.88
33.51,84.22,52.61695,7.58
32.32,95.09,52.90159,7.88
31.18,62.13,36.17985,7.58
36.38,69.50,55.19477,7.88
31.81,53.39,34.81701,7.88
34.91,63.75,46.29924,7.88
27.47,61.48,28.77255,7.58
36.69,90.88,74.03561,7.88
34.34,70.01,47.97557,7.88
37.23,67.73,57.26241,7.58
31.13,77.35,40.03300,7.88
37.20,75.34,62.65693,7.88
27.04,83.70,30.44530,7.58
34.15,84.38,55.32310,7.88
38.71,40.78,45.91032,7.88
39.01,84.85,81.81684,7.88
31.28,77.92,40.56401,7.58
27.22,57.50,28.32359,7.88
39.75,62.57,63.59384,7.88
26.82,57.62,27.36116,7.88
32.69,99.73,57.50985,7.58
38.87,71.02,67.38278,7.88
33.11,82.94,50.36388,7.88
32.48,57.08,37.60622,7.88
29.55,93.83,40.30399,7.88
35.25,41.48,38.27495,7.88
38.30,57.54,54.63468,7.58
30.47,59.62,33.68121,7.88
37.11,79.33,65.89333,7.88
36.57,53.71,45.75364,7.88
30.93,90.54,45.02357,7.88
37.24,68.00,57.46232,7.58
39.23,89.09,88.10315,7.88
32.10,85.65,47.50356,7.88
29.33,40.24,28.44602,7.88
30.84,83.59,41.34513,7.88
38.54,53.42,52.53165,7.58
37.51,42.29,43.71006,7.88
33.12,41.49,34.33062,7.88
33.99,69.98,46.66605,7.88
38.01,62.94,57.24844,7.88
34.26,88.56,58.43924,7.58
33.77,98.75,63.63472,7.88
30.48,61.97,34.47195,7.88
33.33,86.98,53.19120,7.58
34.25,62.36,43.51620,7.88
32.59,70.50,42.24699,7.88
30.88,79.37,39.73823,41.42
37.98,79.09,70.22346,7.88
34.71,57.62,43.05696,7.58
37.38,71.55,60.12222,9.04
27.48,64.34,29.15659,7.58
33.53,90.33,55.73114,7.58
36.37,84.44,66.76865,7.58
33.42,59.06,40.47586,7.58
32.09,74.52,42.16396,7.58
37.93,82.25,72.89799,7.58
36.19,91.15,71.42549,7.88
31.88,95.57,51.13969,7.88
28.90,97.22,38.48407,7.88
27.37,70.97,29.50629,115.79
33.21,64.64,41.80060,8.75
38.74,92.76,89.23274,7.88
36.90,64.74,54.23957,7.88
29.23,42.46,28.89442,7.88
30.47,56.15,32.84732,7.88
39.42,78.61,77.68790,7.88
32.48,47.18,34.73988,7.88
32.43,47.80,34.81666,7.58
39.32,70.37,69.13390,7.58
27.79,62.52,29.61241,7.88
29.18,41.78,28.59192,7.88
28.73,63.50,30.59710,7.58
35.01,81.35,57.29425,7.88
32.60,79.98,46.85899,7.88
32.97,55.43,38.22659,7.88
37.76,88.46,78.06128,7.88
28.15,50.60,28.70564,7.88
37.22,99.96,86.57977,7.58
33.79,47.89,37.21405,7.58
27.37,64.31,28.90050,7.88
29.56,65.67,33.33973,7.88
27.89,55.24,29.17045,7.88
34.52,49.99,39.61934,7.88
37.20,96.66,83.05841,7.88
39.50,72.03,71.61837,7.58
37.98,64.92,58.33318,7.88
28.73,51.99,29.65720,7.88
34.17,76.11,51.03119,7.58
29.23,64.03,32.09483,7.88
34.41,56.54,41.99486,7.88
32.81,84.11,49.68807,7.58
37.51,40.36,43.02798,7.88
27.50,98.73,33.99696,7.88
37.46,99.11,87.32904,7.88
28.60,44.94,28.28284,7.88
36.80,72.81,58.74287,7.88
31.68,75.97,41.29041,7.58
27.94,67.13,29.84947,7.88
30.62,63.48,35.29599,7.58
28.76,78.07,33.57609,7.88
30.38,70.48,36.57915,7.58
34.46,55.10,41.64307,7.58
29.84,86.99,38.85439,11.67
33.36,66.91,42.89637,7.88
35.81,79.17,58.94114,7.88
29.64,58.39,31.69265,7.88
36.38,41.73,40.93773,7.58
33.26,41.98,34.68403,7.88
39.99,62.96,65.03941,7.88
32.60,74.50,44.25019,7.88
36.74,83.38,67.72012,7.88
37.18,77.01,64.10399,7.88
37.99,96.08,87.80072,7.88
39.14,94.75,94.06355,7.58
32.76,71.05,42.82861,7.58
39.05,45.97,49.26708,7.88
33.50,66.22,43.00227,7.88
32.69,58.46,38.55338,7.58
37.89,84.33,74.62134,7.88
34.60,61.96,44.21346,7.88
34.94,97.16,69.17607,7.58
34.15,75.03,50.30535,7.88
39.34,62.53,61.75067,7.88
29.08,86.64,36.17032,7.88
33.64,64.19,42.67076,7.58
39.20,86.30,84.69389,7.88
35.31,64.69,48.34267,7.58
26.77,59.76,27.44933,7.58
31.81,53.96,35.00307,7.88
31.78,40.89,31.99229,7.58
29.93,72.99,35.82479,7.88
39.89,72.66,74.42690,7.88
31.80,98.04,51.55288,7.88
31.33,55.00,34.20724,7.88
38.86,42.25,46.77158,7.88
36.47,65.98,53.40163,7.88
30.65,40.72,30.15345,7.88
37.45,97.60,85.71203,7.88
36.39,46.61,42.68515,7.88
29.15,47.20,29.65965,7.88
38.76,80.27,75.52551,7.88
30.51,52.21,32.35012,7.88
28.30,51.85,29.27073,7.88
38.83,58.22,56.86659,7.58
34.76,44.69,38.29305,7.58
34.47,85.22,57.03798,7.88
27.26,57.60,28.43585,10.79
27.31,78.52,30.24391,8.75
29.45,64.52,32.80486,7.88
34.98,88.03,62.08467,7.58
35.51,58.53,45.36150,7.88
38.30,70.21,63.64707,48.71
28.60,82.97,34.10429,7.88
26.88,55.56,27.64375,7.88
32.28,57.52,37.27679,7.88
28.42,76.12,32.24174,7.58
27.33,87.65,31.47389,7.58
37.94,68.91,60.59457,7.88
31.17,59.31,35.23568,7.88
28.51,73.61,31.99357,7.88
28.37,71.77,31.23804,7.88
32.38,92.58,51.95326,7.58
28.53,47.33,28.71059,7.88
28.51,72.97,31.86639,7.88
34.63,86.62,58.97602,129.79
28.80,88.46,35.75225,8.75
38.09,49.56,48.31123,7.88
29.88,67.69,34.63229,7.88
33.84,85.83,54.73949,7.88
32.02,62.08,38.15033,7.58
29.40,92.02,39.07936,7.58
28.17,51.57,28.98287,7.58
35.03,75.35,53.74553,7.88
28.38,68.70,30.65579,7.58
27.85,73.62,30.43238,7.88
35.47,85.04,62.45825,7.58
34.24,92.90,61.80463,7.58
30.48,85.98,41.00355,7.88
32.84,52.34,36.91046,7.88
37.30,45.23,44.27065,7.88
32.65,72.11,43.00776,7.58
30.92,98.70,47.86927,7.88
32.22,50.86,35.09239,7.58
29.71,41.39,29.32553,7.88
39.64,46.59,51.77811,7.58
37.29,63.08,54.67635,7.58
27.50,44.13,27.62916,7.88
39.22,68.03,66.43628,7.58
29.46,49.12,30.07675,7.88
36.36,83.74,66.06590,7.88
33.28,49.17,36.50450,7.58
37.45,48.07,45.61608,7.88
29.06,65.31,31.87578,7.58
31.78,64.58,38.39872,7.88
29.35,72.09,34.03074,7.58
27.25,54.86,27.84886,7.88
30.41,91.13,43.16759,7.88
35.03,41.37,37.73485,7.88
31.20,50.12,33.28273,7.88
29.88,91.03,40.89305,7.88
26.73,71.47,28.70823,7.88
30.39,76.16,37.73576,7.58
36.07,99.54,78.37907,7.58
30.00,69.18,35.26257,7.88
29.30,94.95,39.54696,7.88
30.54,86.75,41.61667,7.88
