Temp,Hum,Output,Time_us
36.64,80.46,63.88418,32.96
28.39,64.68,30.35675,67.67
33.08,46.85,35.35020,42.58
30.58,45.07,31.07010,37.92
36.04,43.35,40.70032,28.00
28.27,47.84,28.21670,25.67
32.36,53.55,36.42022,23.92
30.45,53.10,32.49680,24.79
36.82,97.34,81.36124,26.25
34.36,78.82,53.18394,25.67
34.36,41.26,36.42022,24.50
29.24,49.85,30.35675,24.21
35.88,93.82,71.37435,24.50
36.88,51.93,46.05044,24.79
29.73,55.12,31.42677,23.92
34.38,53.20,41.05699,25.96
31.10,82.73,42.12702,23.33
39.94,88.82,92.41817,23.92
37.18,64.67,55.32398,24.79
39.24,82.48,81.00457,25.08
31.10,55.73,34.28017,23.04
29.64,67.92,34.28017,23.33
29.28,92.26,38.91694,24.21
26.94,91.30,31.42677,24.79
29.20,82.34,35.35020,24.21
32.41,80.21,46.40711,24.21
30.49,53.85,32.49680,24.50
38.17,68.45,61.38745,24.79
31.42,96.74,49.26051,23.92
27.40,44.59,27.50335,26.54
27.11,67.34,28.93005,25.38
33.24,47.26,35.70687,24.50
36.42,45.78,42.48369,25.38
27.82,78.38,31.07010,23.33
26.85,47.54,27.86002,23.04
36.19,49.03,42.84037,23.33
27.29,42.70,27.86002,24.50
30.12,91.63,42.48369,24.50
39.11,63.86,61.38745,22.75
27.67,54.62,28.57337,24.21
36.90,71.89,58.53406,22.46
38.91,93.80,91.34814,23.33
31.35,55.37,34.63684,24.21
39.49,74.93,74.58443,22.17
32.60,45.34,34.28017,23.33
32.91,73.84,45.69376,23.33
38.85,98.53,95.62823,24.50
31.22,86.78,44.62374,24.50
29.10,47.05,29.64340,25.38
34.30,92.48,62.10081,24.21
28.73,57.83,30.35675,23.33
30.07,89.67,40.70032,25.38
30.16,84.85,39.27362,23.33
36.73,99.51,83.14462,22.75
33.51,84.22,52.11391,24.21
32.32,95.09,53.18394,22.46
31.18,62.13,36.06355,22.46
36.38,69.50,55.32398,22.17
31.81,53.39,34.99352,23.33
34.91,63.75,46.76379,24.50
27.47,61.48,28.93005,23.92
36.69,90.88,73.87108,24.21
34.34,70.01,48.19049,23.92
37.23,67.73,57.10736,21.88
31.13,77.35,39.98697,23.63
37.20,75.34,62.45748,23.33
27.04,83.70,30.35675,23.33
34.15,84.38,54.96731,22.75
38.71,40.78,45.33709,21.88
39.01,84.85,82.43127,24.21
31.28,77.92,40.70032,24.79
27.22,57.50,27.86002,24.79
39.75,62.57,63.17083,23.63
26.82,57.62,27.50335,21.88
32.69,99.73,58.17738,23.04
38.87,71.02,67.45093,24.50
33.11,82.94,50.33054,23.63
32.48,57.08,37.49025,25.67
29.55,93.83,40.34364,21.88
35.25,41.48,38.20359,23.33
38.30,57.54,54.25396,22.75
30.47,59.62,33.56682,25.08
37.11,79.33,65.31087,23.33
36.57,53.71,46.76379,25.08
30.93,90.54,45.33709,23.63
37.24,68.00,57.82071,23.63
39.23,89.09,88.13806,23.63
32.10,85.65,47.47714,22.46
29.33,40.24,28.57337,24.21
30.84,83.59,41.77034,23.63
38.54,53.42,51.75724,24.79
37.51,42.29,43.91039,22.46
33.12,41.49,34.28017,23.63
33.99,69.98,46.40711,25.38
38.01,62.94,57.10736,24.50
34.26,88.56,58.89073,24.21
33.77,98.75,63.52750,23.04
30.48,61.97,34.99352,24.21
33.33,86.98,53.54061,23.04
34.25,62.36,43.55371,23.92
32.59,70.50,42.12702,25.96
30.88,79.37,39.63029,58.33
37.98,79.09,70.30432,49.00
34.71,57.62,42.84037,42.00
37.38,71.55,59.96075,32.38
27.48,64.34,28.93005,28.88
33.53,90.33,55.68066,26.83
36.37,84.44,66.38091,27.71
33.42,59.06,40.34364,25.96
32.09,74.52,42.48369,25.67
37.93,82.25,73.15772,24.21
36.19,91.15,70.66100,25.38
31.88,95.57,51.04388,27.42
28.90,97.22,38.91694,89.54
27.37,70.97,29.28672,30.92
33.21,64.64,41.77034,26.83
38.74,92.76,89.20809,25.96
36.90,64.74,54.25396,25.96
29.23,42.46,28.93005,22.75
30.47,56.15,32.85347,26.83
39.42,78.61,77.79449,23.92
32.48,47.18,34.63684,24.79
32.43,47.80,34.99352,23.92
39.32,70.37,68.87762,25.38
27.79,62.52,29.64340,23.33
29.18,41.78,28.57337,23.63
28.73,63.50,30.71342,24.21
35.01,81.35,57.10736,22.46
32.60,79.98,47.12046,25.08
32.97,55.43,38.56027,22.17
37.76,88.46,78.15117,25.08
28.15,50.60,28.57337,23.92
37.22,99.96,85.64134,23.04
33.79,47.89,37.13357,23.04
27.37,64.31,28.93005,25.08
29.56,65.67,33.56682,23.04
27.89,55.24,28.93005,23.63
34.52,49.99,39.63029,22.17
37.20,96.66,83.14462,23.33
39.50,72.03,71.73103,24.79
37.98,64.92,58.17738,25.38
28.73,51.99,30.00007,22.75
34.17,76.11,50.68721,23.33
29.23,64.03,32.14012,24.79
34.41,56.54,41.77034,24.50
32.81,84.11,49.61719,23.33
37.51,40.36,43.19704,24.21
27.50,98.73,33.92350,22.46
37.46,99.11,87.78139,25.08
28.60,44.94,28.21670,24.21
36.80,72.81,58.17738,23.04
31.68,75.97,41.77034,46.38
27.94,67.13,30.00007,34.42
30.62,63.48,35.35020,30.04
28.76,78.07,33.56682,26.25
30.38,70.48,36.42022,25.67
34.46,55.10,41.41367,25.08
29.84,86.99,39.27362,23.92
33.36,66.91,43.19704,26.54
35.81,79.17,58.53406,23.04
29.64,58.39,31.78345,25.08
36.38,41.73,41.05699,22.75
33.26,41.98,34.63684,22.75
39.99,62.96,64.59753,24.21
32.60,74.50,44.26707,23.04
36.74,83.38,67.09425,25.96
37.18,77.01,63.88418,22.46
37.99,96.08,88.13806,24.50
39.14,94.75,93.13151,23.33
32.76,71.05,43.19704,22.17
39.05,45.97,49.26051,22.75
33.50,66.22,43.19704,24.21
32.69,58.46,38.56027,24.79
37.89,84.33,74.58443,23.04
34.60,61.96,44.62374,22.75
34.94,97.16,68.87762,23.33
34.15,75.03,49.97386,24.50
39.34,62.53,61.38745,24.50
29.08,86.64,36.06355,24.79
33.64,64.19,42.12702,23.63
39.20,86.30,84.21465,23.92
35.31,64.69,48.54716,22.46
26.77,59.76,27.50335,25.96
31.81,53.96,35.35020,24.50
31.78,40.89,32.14012,23.63
29.93,72.99,35.70687,23.92
39.89,72.66,73.51440,23.63
31.80,98.04,51.75724,23.33
31.33,55.00,34.63684,23.92
38.86,42.25,46.40711,24.50
36.47,65.98,53.89729,23.04
30.65,40.72,30.35675,22.75
37.45,97.60,85.28467,23.92
36.39,46.61,42.48369,22.75
29.15,47.20,29.64340,22.46
38.76,80.27,76.01112,23.63
30.51,52.21,32.49680,21.88
28.30,51.85,28.93005,22.46
38.83,58.22,56.75068,24.21
34.76,44.69,38.20359,23.33
34.47,85.22,57.10736,24.79
27.26,57.60,28.21670,63.00
27.31,78.52,30.35675,39.67
29.45,64.52,32.85347,33.54
34.98,88.03,62.10081,26.83
35.51,58.53,46.05044,25.96
38.30,70.21,63.88418,27.71
28.60,82.97,34.28017,25.67
26.88,55.56,27.86002,24.21
32.28,57.52,37.49025,23.33
28.42,76.12,32.49680,23.92
27.33,87.65,31.42677,23.04
37.94,68.91,60.67411,24.50
31.17,59.31,35.35020,23.92
28.51,73.61,31.78345,25.67
28.37,71.77,31.42677,24.79
32.38,92.58,51.75724,23.33
28.53,47.33,28.93005,23.92
28.51,72.97,32.14012,23.63
34.63,86.62,59.24741,25.96
28.80,88.46,35.70687,23.04
38.09,49.56,48.54716,23.63
29.88,67.69,34.63684,23.92
33.84,85.83,54.61063,23.33
32.02,62.08,38.20359,24.79
29.40,92.02,38.91694,24.50
28.17,51.57,28.93005,22.17
35.03,75.35,53.54061,25.38
28.38,68.70,31.07010,23.33
27.85,73.62,30.71342,23.92
35.47,85.04,62.45748,23.04
34.24,92.90,61.38745,22.17
30.48,85.98,41.05699,23.63
32.84,52.34,37.13357,24.21
37.30,45.23,44.26707,23.63
32.65,72.11,43.55371,24.21
30.92,98.70,47.47714,24.50
32.22,50.86,34.99352,23.63
29.71,41.39,29.64340,24.21
39.64,46.59,51.75724,23.63
37.29,63.08,54.96731,24.79
27.50,44.13,27.86002,21.58
39.22,68.03,66.38091,22.75
29.46,49.12,30.35675,24.21
36.36,83.74,65.31087,23.92
33.28,49.17,36.42022,25.38
37.45,48.07,45.69376,23.33
29.06,65.31,31.78345,24.50
31.78,64.58,38.91694,22.46
29.35,72.09,33.92350,23.33
27.25,54.86,27.86002,23.33
30.41,91.13,43.19704,21.88
35.03,41.37,37.84692,23.33
31.20,50.12,33.56682,23.92
29.88,91.03,40.34364,24.79
26.73,71.47,28.93005,24.21
30.39,76.16,37.13357,24.79
36.07,99.54,78.50784,21.88
30.00,69.18,34.99352,24.50
29.30,94.95,39.63029,25.67
30.54,86.75,42.12702,23.33
27.68,97.17,34.63684,25.08
33.48,93.01,57.46403,22.75
37.54,42.27,43.91039,24.21
33.35,44.36,35.70687,23.92
28.43,53.35,30.00007,23.92
35.00,74.46,53.18394,22.75
28.36,49.30,28.93005,25.38
